0 13
2 4
7 7
4 3
5 6
6 7
9 3
12 2
20 6
13 2
15 3
18 3
19 6
21 2
1 2
21 1
3 3
21 1
8 5
21 1
21 1
0 13
21 1
2 4
21 1
7 7
21 1
1 2
21 1
3 3
21 1
8 5
21 1
21 1
0 13
21 1
2 4
21 1
7 7
21 1
10 4
21 1
1 2
21 1
3 3
21 1
8 5
21 1
11 6
21 1
21 1
4 3
21 1
5 6
21 1
6 7
21 1
12 2
21 1
0 13
21 1
2 4
21 1
7 7
21 1
9 3
21 1
1 2
21 1
3 3
21 1
8 5
21 1
21 1
0 13
21 1
2 4
21 1
7 7
21 1
10 4
21 1
1 2
21 1
3 3
21 1
8 5
21 1
11 6
21 1
21 1
4 3
21 1
5 6
21 1
6 7
21 1
12 2
21 1
0 13
21 1
2 4
21 1
7 7
21 1
9 3
21 1
1 2
21 1
3 3
21 1
8 5
21 1
21 1
0 13
21 1
2 4
21 1
7 8
21 1
10 4
21 1
1 2
21 1
3 3
21 1
8 6
21 1
11 6
21 1
21 1
20 6
21 1
4 3
21 1
5 6
21 1
6 7
21 1
12 2
21 1
0 13
21 1
2 4
21 1
7 7
21 1
9 3
21 1
1 2
21 1
3 3
21 1
8 5
21 1
21 1
0 13
21 1
2 4
21 1
7 7
21 1
10 4
21 1
1 2
21 1
3 3
21 1
8 5
21 1
11 6
21 1
21 1
4 3
21 1
5 6
21 1
6 7
21 1
12 2
21 1
0 13
21 1
2 4
21 1
7 7
21 1
9 3
21 1
1 2
21 1
3 3
21 1
8 5
21 1
21 1
0 13
21 1
2 4
21 1
7 7
21 1
10 4
21 1
1 2
21 1
3 3
21 1
8 5
21 1
11 6
21 1
21 1
20 6
21 1
4 3
21 1
5 6
21 1
6 7
21 1
12 3
21 1
0 13
21 1
2 4
21 1
7 7
21 1
9 3
21 1
1 2
21 1
3 3
21 1
8 5
21 1
21 1
0 13
21 1
2 4
21 1
7 7
21 1
10 4
21 1
1 2
21 1
3 3
21 1
8 5
21 1
11 6
21 1
21 1
4 3
21 1
5 6
21 1
6 7
21 1
12 2
21 1
0 13
21 1
2 4
21 1
7 7
21 1
9 3
21 1
1 2
21 1
3 3
21 1
8 5
21 1
21 1
0 13
21 1
2 4
21 1
7 7
21 1
10 4
21 1
1 2
21 1
3 3
21 1
8 5
21 1
11 6
21 1
21 1
20 6
21 1
4 3
21 1
5 6
21 1
6 7
21 1
12 2
21 1
0 13
21 1
2 4
21 1
7 7
21 1
9 3
21 1
1 2
21 1
3 3
21 1
8 5
21 1
21 1
0 13
21 1
2 4
21 1
7 7
21 1
10 4
21 1
