    0  2356  14.000000  13.000000  13.007216   0.007164
    1  2356   3.000000   2.000000   2.004244   0.004226
    2  2356   5.000000   4.000000   4.004244   0.004226
    3  2356   4.000000   3.000000   3.002971   0.002962
    4  1178   3.000000   3.000000   3.000000   0.000000
    5  1178   8.000000   6.000000   6.008489   0.010115
    6  1178   8.000000   7.000000   7.005093   0.005067
    7  2356   8.000000   7.000000   7.005093   0.005067
    8  2356   6.000000   5.000000   5.005093   0.005067
    9  1178   4.000000   3.000000   3.005093   0.005067
   10  1177   5.000000   4.000000   4.000850   0.000849
   11  1177   7.000000   6.000000   6.003398   0.003387
   12  1178   3.000000   2.000000   2.006791   0.006745
   13   234   3.000000   2.000000   2.008547   0.008474
   14   234   4.000000   4.000000   4.000000   0.000000
   15   234   4.000000   3.000000   3.008547   0.008474
   16   234   6.000000   5.000000   5.004274   0.004255
   17   234   5.000000   4.000000   4.004274   0.004255
   18   234   4.000000   3.000000   3.004274   0.004255
   19   234   7.000000   6.000000   6.008547   0.008474
   20   588   7.000000   6.000000   6.001701   0.001698
